job_name,company,job_addr,salary,publish_date,job_url
Python爬虫工程师,深圳市中投兴业有限公司,深圳-福田区,1-1.5万/月,03-30,https://jobs.51job.com/shenzhen-ftq/99738383.html?s=01&t=0
Python爬虫工程师,深圳市中顺和盈科技有限公司,深圳-南山区,1.5-2.5万/月,03-29,https://jobs.51job.com/shenzhen-nsq/100056899.html?s=01&t=0
python爬虫工程师,桑尼号（深圳）科技有限公司,深圳-南山区,1.5-2万/月,03-28,https://jobs.51job.com/shenzhen-nsq/99416260.html?s=01&t=0
Python爬虫工程师,深圳壹鸿科技有限公司,深圳-南山区,1.5-1.8万/月,03-23,https://jobs.51job.com/shenzhen-nsq/98997344.html?s=01&t=0
Python爬虫工程师,深圳市财税无忧科技有限公司,深圳,1.5-3万/月,03-03,https://jobs.51job.com/shenzhen/96342959.html?s=01&t=0
Python开发工程师,深圳市芒柠科技有限公司,深圳-南山区,0.8-1.5万/月,03-30,https://jobs.51job.com/shenzhen-nsq/97643355.html?s=01&t=0
Python开发工程师,深圳市源极光科技有限公司,深圳-南山区,1-1.5万/月,03-30,https://jobs.51job.com/shenzhen-nsq/97544634.html?s=01&t=0
Python开发工程师,深圳市前海谷雨网络科技有限公司,深圳-南山区,1.5-2万/月,03-30,https://jobs.51job.com/shenzhen-nsq/93926792.html?s=01&t=0
爬虫开发工程师,中国平安财产保险股份有限公司,深圳-福田区,2-3.5万/月,03-30,http://paic.51job.com/sc/show_job_detail.php?jobid=97920339
JAVA开发工程师,深圳市花信科技控股有限公司,深圳-福田区,1.5-3万/月,03-27,https://jobs.51job.com/shenzhen-ftq/99069011.html?s=01&t=0
Python/Scrapy爬虫开发工程师,深圳睛灵科技有限公司,深圳-龙岗区,1-2万/月,03-17,https://jobs.51job.com/shenzhen-lgq/98477913.html?s=01&t=0
python实习生,深圳市览众科技股份有限公司,深圳-南山区,1.5-5千/月,03-21,https://jobs.51job.com/shenzhen-nsq/96747622.html?s=01&t=0
